fold,accuracy,loss,class_names,confusion_matrix_raw,confusion_matrix_normalized
1,0.9263668656349182,0.22358031570911407,"[""Apple___Apple_scab"", ""Apple___Black_rot"", ""Apple___Cedar_apple_rust"", ""Apple___healthy"", ""Cherry___Powdery_mildew"", ""Cherry___healthy"", ""Grape___Black_rot"", ""Grape___Esca_(Black_Measles)"", ""Grape___Leaf_blight_(Isariopsis_Leaf_Spot)"", ""Grape___healthy""]","[[173, 0, 1, 25, 1, 0, 0, 0, 0, 5], [2, 144, 9, 34, 0, 6, 1, 0, 0, 14], [0, 0, 195, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 350, 0, 0, 0, 0, 0, 0], [0, 0, 0, 14, 192, 0, 0, 0, 0, 0], [0, 0, 0, 18, 0, 185, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 223, 0, 0, 0], [1, 0, 1, 0, 0, 0, 16, 263, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 190, 15], [0, 0, 0, 0, 0, 0, 0, 0, 0, 186]]","[[0.8439024390243902, 0.0, 0.004878048780487805, 0.12195121951219512, 0.004878048780487805, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025], [0.009523809523809525, 0.6857142857142857, 0.04285714285714286, 0.1619047619047619, 0.0, 0.02857142857142857, 0.004761904761904762, 0.0, 0.0, 0.06666666666666667], [0.0, 0.0, 0.9898477157360406, 0.01015228426395939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.06796116504854369, 0.9320388349514563, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.08823529411764706, 0.0, 0.9068627450980392, 0.0, 0.0, 0.0, 0.004901960784313725], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0035587188612099642, 0.0, 0.0035587188612099642, 0.0, 0.0, 0.0, 0.05693950177935943, 0.9359430604982206, 0.0, 0.0], [0.0048543689320388345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9223300970873787, 0.07281553398058252], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]"
2,0.9228054881095886,0.2182098627090454,"[""Apple___Apple_scab"", ""Apple___Black_rot"", ""Apple___Cedar_apple_rust"", ""Apple___healthy"", ""Cherry___Powdery_mildew"", ""Cherry___healthy"", ""Grape___Black_rot"", ""Grape___Esca_(Black_Measles)"", ""Grape___Leaf_blight_(Isariopsis_Leaf_Spot)"", ""Grape___healthy""]","[[180, 0, 0, 26, 0, 3, 0, 0, 0, 1], [3, 129, 11, 41, 0, 4, 1, 0, 0, 13], [0, 0, 196, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 332, 0, 0, 0, 0, 0, 0], [0, 0, 1, 14, 204, 0, 0, 0, 0, 0], [0, 0, 0, 15, 0, 170, 0, 0, 0, 4], [0, 0, 0, 0, 0, 0, 227, 0, 0, 0], [0, 0, 0, 0, 0, 0, 17, 254, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 193, 19], [0, 0, 0, 0, 0, 0, 0, 0, 0, 207]]","[[0.8571428571428571, 0.0, 0.0, 0.12380952380952381, 0.0, 0.014285714285714285, 0.0, 0.0, 0.0, 0.004761904761904762], [0.01485148514851485, 0.6386138613861386, 0.054455445544554455, 0.20297029702970298, 0.0, 0.019801980198019802, 0.0049504950495049506, 0.0, 0.0, 0.06435643564356436], [0.0, 0.0, 0.9949238578680203, 0.005076142131979695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0045662100456621, 0.0639269406392694, 0.9315068493150684, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.07936507936507936, 0.0, 0.8994708994708994, 0.0, 0.0, 0.0, 0.021164021164021163], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06273062730627306, 0.9372693726937269, 0.0, 0.0], [0.004694835680751174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9061032863849765, 0.0892018779342723], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]"
3,0.9228054881095886,0.2040712535381317,"[""Apple___Apple_scab"", ""Apple___Black_rot"", ""Apple___Cedar_apple_rust"", ""Apple___healthy"", ""Cherry___Powdery_mildew"", ""Cherry___healthy"", ""Grape___Black_rot"", ""Grape___Esca_(Black_Measles)"", ""Grape___Leaf_blight_(Isariopsis_Leaf_Spot)"", ""Grape___healthy""]","[[182, 0, 0, 16, 1, 0, 0, 0, 0, 2], [6, 133, 12, 37, 0, 5, 0, 0, 0, 11], [1, 0, 192, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 318, 0, 0, 0, 0, 0, 0], [1, 0, 0, 14, 199, 0, 0, 0, 0, 1], [0, 0, 0, 20, 0, 175, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0, 254, 1, 0, 0], [0, 0, 1, 0, 0, 0, 22, 253, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 201, 17], [0, 0, 0, 0, 0, 0, 0, 0, 0, 185]]","[[0.9054726368159204, 0.0, 0.0, 0.07960199004975124, 0.004975124378109453, 0.0, 0.0, 0.0, 0.0, 0.009950248756218905], [0.029411764705882353, 0.6519607843137255, 0.058823529411764705, 0.18137254901960784, 0.0, 0.024509803921568627, 0.0, 0.0, 0.0, 0.05392156862745098], [0.005076142131979695, 0.0, 0.9746192893401016, 0.02030456852791878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.004651162790697674, 0.0, 0.0, 0.06511627906976744, 0.9255813953488372, 0.0, 0.0, 0.0, 0.0, 0.004651162790697674], [0.0, 0.0, 0.0, 0.10256410256410256, 0.0, 0.8974358974358975, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.007751937984496124, 0.003875968992248062, 0.0, 0.0, 0.9844961240310077, 0.003875968992248062, 0.0, 0.0], [0.0, 0.0, 0.0036231884057971015, 0.0, 0.0, 0.0, 0.07971014492753623, 0.9166666666666666, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9220183486238532, 0.0779816513761468], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]"
4,0.9241288304328918,0.2077479064464569,"[""Apple___Apple_scab"", ""Apple___Black_rot"", ""Apple___Cedar_apple_rust"", ""Apple___healthy"", ""Cherry___Powdery_mildew"", ""Cherry___healthy"", ""Grape___Black_rot"", ""Grape___Esca_(Black_Measles)"", ""Grape___Leaf_blight_(Isariopsis_Leaf_Spot)"", ""Grape___healthy""]","[[159, 0, 0, 23, 0, 0, 0, 0, 0, 3], [4, 131, 8, 32, 0, 2, 0, 0, 0, 11], [0, 0, 222, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 320, 0, 0, 0, 0, 0, 0], [0, 0, 2, 12, 191, 0, 0, 0, 0, 0], [0, 0, 0, 26, 0, 184, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 216, 0, 0, 0], [0, 0, 1, 0, 0, 0, 23, 254, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0, 208, 20], [0, 0, 0, 0, 0, 0, 0, 0, 0, 210]]","[[0.8594594594594595, 0.0, 0.0, 0.12432432432432433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016216216216216217], [0.02127659574468085, 0.6968085106382979, 0.0425531914893617, 0.1702127659574468, 0.0, 0.010638297872340425, 0.0, 0.0, 0.0, 0.05851063829787234], [0.0, 0.0, 0.9955156950672646, 0.004484304932735426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.00975609756097561, 0.05853658536585366, 0.9317073170731708, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.12322274881516587, 0.0, 0.8720379146919431, 0.0, 0.0, 0.0, 0.004739336492890996], [0.0, 0.0, 0.0, 0.004608294930875576, 0.0, 0.0, 0.9953917050691244, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0035714285714285713, 0.0, 0.0, 0.0, 0.08214285714285714, 0.9071428571428571, 0.0, 0.007142857142857143], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9122807017543859, 0.08771929824561403], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]"
5,0.9214821457862854,0.2006351351737976,"[""Apple___Apple_scab"", ""Apple___Black_rot"", ""Apple___Cedar_apple_rust"", ""Apple___healthy"", ""Cherry___Powdery_mildew"", ""Cherry___healthy"", ""Grape___Black_rot"", ""Grape___Esca_(Black_Measles)"", ""Grape___Leaf_blight_(Isariopsis_Leaf_Spot)"", ""Grape___healthy""]","[[160, 0, 0, 35, 0, 0, 0, 0, 0, 4], [4, 136, 7, 31, 0, 3, 0, 0, 0, 15], [1, 0, 182, 3, 0, 0, 0, 0, 0, 0], [0, 0, 0, 325, 0, 0, 0, 0, 0, 0], [0, 0, 0, 18, 189, 0, 0, 0, 0, 0], [0, 0, 0, 25, 0, 175, 0, 0, 0, 1], [0, 0, 1, 2, 0, 0, 252, 0, 0, 0], [0, 0, 0, 0, 0, 0, 17, 258, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 200, 11], [0, 0, 0, 0, 0, 0, 0, 0, 0, 212]]","[[0.8040201005025126, 0.0, 0.0, 0.17587939698492464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020100502512562814], [0.02040816326530612, 0.6938775510204082, 0.03571428571428571, 0.15816326530612246, 0.0, 0.015306122448979591, 0.0, 0.0, 0.0, 0.07653061224489796], [0.005376344086021506, 0.0, 0.978494623655914, 0.016129032258064516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.08695652173913043, 0.9130434782608695, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.12437810945273632, 0.0, 0.8706467661691543, 0.0, 0.0, 0.0, 0.004975124378109453], [0.0, 0.0, 0.00392156862745098, 0.00784313725490196, 0.0, 0.0, 0.9882352941176471, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06181818181818182, 0.9381818181818182, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9478672985781991, 0.052132701421800945], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]"
